Standing,Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Year
1,Werder Bremen,34,22,8,4,79,38,+41,74,2003
2,Bayern Munich,34,20,8,6,70,39,+31,68,2003
3,Bayer Leverkusen,34,19,8,7,73,39,+34,65,2003
4,VfB Stuttgart,34,18,10,6,52,24,+28,64,2003
5,VfL Bochum,34,15,11,8,57,39,+18,56,2003
6,Borussia Dortmund,34,16,7,11,59,48,+11,55,2003
7,Schalke 04,34,13,11,10,49,42,+7,50,2003
8,Hamburg SV,34,14,7,13,47,60,-13,49,2003
9,Hansa Rostock,34,12,8,14,55,54,+1,44,2003
10,VfL Wolfsburg,34,13,3,18,56,61,-5,42,2003
11,Borussia Monchengladbach,34,10,9,15,40,49,-9,39,2003
12,Hertha Berlin,34,9,12,13,42,59,-17,39,2003
13,SC Freiburg,34,10,8,16,42,67,-25,38,2003
14,Hannover 96,34,9,10,15,49,63,-14,37,2003
15,Kaiserslautern,34,11,6,17,39,62,-23,36,2003
16,Eintracht Frankfurt,34,9,5,20,36,53,-17,32,2003
17,TSV 1860 Munich,34,8,8,18,32,55,-23,32,2003
18,FC Cologne,34,6,5,23,32,57,-25,23,2003
1,Bayern Munich,34,24,5,5,75,33,+42,77,2004
2,Schalke 04,34,20,3,11,56,46,+10,63,2004
3,Werder Bremen,34,18,5,11,68,37,+31,59,2004
4,Hertha Berlin,34,15,13,6,59,31,+28,58,2004
5,VfB Stuttgart,34,17,7,10,54,40,+14,58,2004
6,Bayer Leverkusen,34,16,9,9,65,44,+21,57,2004
7,Borussia Dortmund,34,15,10,9,47,44,+3,55,2004
8,Hamburg SV,34,16,3,15,55,50,+5,51,2004
9,VfL Wolfsburg,34,15,3,16,49,51,-2,48,2004
10,Hannover 96,34,13,6,15,34,36,-2,45,2004
11,Mainz,34,12,7,15,50,55,-5,43,2004
12,Kaiserslautern,34,12,6,16,43,52,-9,42,2004
13,Arminia Bielefeld,34,11,7,16,37,49,-12,40,2004
14,1. FC Nürnberg,34,10,8,16,55,63,-8,38,2004
15,Borussia Monchengladbach,34,8,12,14,35,51,-16,36,2004
16,VfL Bochum,34,9,8,17,47,68,-21,35,2004
17,Hansa Rostock,34,7,9,18,31,65,-34,30,2004
18,SC Freiburg,34,3,9,22,30,75,-45,18,2004
1,Bayern Munich,34,22,9,3,67,32,+35,75,2005
2,Werder Bremen,34,21,7,6,79,37,+42,70,2005
3,Hamburg SV,34,21,5,8,53,30,+23,68,2005
4,Schalke 04,34,16,13,5,47,31,+16,61,2005
5,Bayer Leverkusen,34,14,10,10,64,49,+15,52,2005
6,Hertha Berlin,34,12,12,10,52,48,+4,48,2005
7,Borussia Dortmund,34,11,13,10,45,42,+3,46,2005
8,1. FC Nürnberg,34,12,8,14,49,51,-2,44,2005
9,VfB Stuttgart,34,9,16,9,37,39,-2,43,2005
10,Borussia Monchengladbach,34,10,12,12,42,50,-8,42,2005
11,Mainz,34,9,11,14,46,47,-1,38,2005
12,Hannover 96,34,7,17,10,43,47,-4,38,2005
13,Arminia Bielefeld,34,10,7,17,32,47,-15,37,2005
14,Eintracht Frankfurt,34,9,9,16,42,51,-9,36,2005
15,VfL Wolfsburg,34,7,13,14,33,55,-22,34,2005
16,Kaiserslautern,34,8,9,17,47,71,-24,33,2005
17,FC Cologne,34,7,9,18,49,71,-22,30,2005
18,MSV Duisburg,34,5,12,17,34,63,-29,27,2005
1,VfB Stuttgart,34,21,7,6,61,37,+24,70,2006
2,Schalke 04,34,21,5,8,53,32,+21,68,2006
3,Werder Bremen,34,20,6,8,76,40,+36,66,2006
4,Bayern Munich,34,18,6,10,55,40,+15,60,2006
5,Bayer Leverkusen,34,15,6,13,54,49,+5,51,2006
6,1. FC Nürnberg,34,11,15,8,43,32,+11,48,2006
7,Hamburg SV,34,10,15,9,43,37,+6,45,2006
8,VfL Bochum,34,13,6,15,49,50,-1,45,2006
9,Borussia Dortmund,34,12,8,14,41,43,-2,44,2006
10,Hertha Berlin,34,12,8,14,50,55,-5,44,2006
11,Hannover 96,34,12,8,14,41,50,-9,44,2006
12,Arminia Bielefeld,34,11,9,14,47,49,-2,42,2006
13,Energie Cottbus,34,11,8,15,38,49,-11,41,2006
14,Eintracht Frankfurt,34,9,13,12,46,58,-12,40,2006
15,VfL Wolfsburg,34,8,13,13,37,45,-8,37,2006
16,Mainz,34,8,10,16,34,57,-23,34,2006
17,Alemannia Aachen,34,9,7,18,46,70,-24,34,2006
18,Borussia Monchengladbach,34,6,8,20,23,44,-21,26,2006
1,Bayern Munich,34,22,10,2,68,21,+47,76,2007
2,Werder Bremen,34,20,6,8,75,45,+30,66,2007
3,Schalke 04,34,18,10,6,55,32,+23,64,2007
4,Hamburg SV,34,14,12,8,47,26,+21,54,2007
5,VfL Wolfsburg,34,15,9,10,58,46,+12,54,2007
6,VfB Stuttgart,34,16,4,14,57,57,0,52,2007
7,Bayer Leverkusen,34,15,6,13,57,40,+17,51,2007
8,Hannover 96,34,13,10,11,54,56,-2,49,2007
9,Eintracht Frankfurt,34,12,10,12,43,50,-7,46,2007
10,Hertha Berlin,34,12,8,14,39,44,-5,44,2007
11,Karlsruher SC,34,11,10,13,38,53,-15,43,2007
12,VfL Bochum,34,10,11,13,48,54,-6,41,2007
13,Borussia Dortmund,34,10,10,14,50,62,-12,40,2007
14,Energie Cottbus,34,9,9,16,35,56,-21,36,2007
15,Arminia Bielefeld,34,8,10,16,35,60,-25,34,2007
16,1. FC Nürnberg,34,7,10,17,35,51,-16,31,2007
17,Hansa Rostock,34,8,6,20,30,52,-22,30,2007
18,MSV Duisburg,34,8,5,21,36,55,-19,29,2007
1,VfL Wolfsburg,34,21,6,7,80,41,+39,69,2008
2,Bayern Munich,34,20,7,7,71,42,+29,67,2008
3,VfB Stuttgart,34,19,7,8,63,43,+20,64,2008
4,Hertha Berlin,34,19,6,9,48,41,+7,63,2008
5,Hamburg SV,34,19,4,11,49,47,+2,61,2008
6,Borussia Dortmund,34,15,14,5,60,37,+23,59,2008
7,TSG Hoffenheim,34,15,10,9,63,49,+14,55,2008
8,Schalke 04,34,14,8,12,47,35,+12,50,2008
9,Bayer Leverkusen,34,14,7,13,59,46,+13,49,2008
10,Werder Bremen,34,12,9,13,64,50,+14,45,2008
11,Hannover 96,34,10,10,14,49,69,-20,40,2008
12,FC Cologne,34,11,6,17,35,50,-15,39,2008
13,Eintracht Frankfurt,34,8,9,17,39,60,-21,33,2008
14,VfL Bochum,34,7,11,16,39,55,-16,32,2008
15,Borussia Monchengladbach,34,8,7,19,39,62,-23,31,2008
16,Energie Cottbus,34,8,6,20,30,57,-27,30,2008
17,Karlsruher SC,34,8,5,21,30,54,-24,29,2008
18,Arminia Bielefeld,34,4,16,14,29,56,-27,28,2008
1,Bayern Munich,34,20,10,4,72,31,+41,70,2009
2,Schalke 04,34,19,8,7,53,31,+22,65,2009
3,Werder Bremen,34,17,10,7,71,40,+31,61,2009
4,Bayer Leverkusen,34,15,14,5,65,38,+27,59,2009
5,Borussia Dortmund,34,16,9,9,54,42,+12,57,2009
6,VfB Stuttgart,34,15,10,9,51,41,+10,55,2009
7,Hamburg SV,34,13,13,8,56,41,+15,52,2009
8,VfL Wolfsburg,34,14,8,12,64,58,+6,50,2009
9,Mainz,34,12,11,11,36,42,-6,47,2009
10,Eintracht Frankfurt,34,12,10,12,47,54,-7,46,2009
11,TSG Hoffenheim,34,11,9,14,44,42,+2,42,2009
