Standing,Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Year,RTS
1,Valencia,38,23,8,7,71,27,+44,77,2003,17.37863616164152
2,Barcelona,38,21,9,8,63,39,+24,72,2003,11.404157713026612
3,Deportivo La Coruña,38,21,8,9,60,34,+26,71,2003,11.5827053448243
4,Real Madrid,38,21,7,10,72,54,+18,70,2003,9.682775416720707
5,Athletic Club,38,15,11,12,53,49,+4,56,2003,4.683441726385478
6,Sevilla,38,15,10,13,56,45,+11,55,2003,5.493773286082672
7,Atlético Madrid,38,15,10,13,51,53,-2,55,2003,3.7082969681058033
8,Villarreal,38,15,9,14,47,49,-2,54,2003,3.5846870691689428
9,Real Betis,38,13,13,12,46,43,+3,52,2003,3.955516765979524
10,Málaga,38,15,6,17,50,55,-5,51,2003,2.8567621087629895
11,Mallorca,38,15,6,17,54,66,-12,51,2003,2.0235398270404508
12,Real Zaragoza,38,13,9,16,46,55,-9,48,2003,2.105946426331691
13,Osasuna,38,11,15,12,38,37,+1,48,2003,3.158919639497536
14,Albacete,38,13,8,17,40,48,-8,47,2003,2.1151027151418287
15,Real Sociedad,38,11,13,14,49,53,-4,46,2003,2.4035258126611687
16,Espanyol,38,13,4,21,48,64,-16,43,2003,1.0712857907861209
17,Racing Santander,38,11,10,17,48,63,-15,42,2003,1.0895983684063966
18,Real Valladolid,38,10,11,17,46,56,-10,41,2003,1.3917558991409433
19,Celta Vigo,38,9,12,17,48,68,-20,39,2003,0.5768461950386805
20,Murcia,38,5,11,22,29,57,-28,26,2003,0.004578144405068893
1,Barcelona,38,25,9,4,73,29,+44,84,2004,14.542510688894945
2,Real Madrid,38,25,5,8,71,32,+39,80,2004,12.632379437283396
3,Villarreal,38,18,11,9,69,37,+32,65,2004,8.164216527098915
4,Real Betis,38,16,14,8,62,50,+12,62,2004,5.169775267982043
5,Espanyol,38,17,10,11,54,46,+8,61,2004,4.565515821075052
6,Sevilla,38,17,9,12,44,41,+3,60,2004,3.877331450986533
7,Valencia,38,14,16,8,54,39,+15,58,2004,4.891144523019374
8,Deportivo La Coruña,38,12,15,11,46,50,-4,51,2004,2.255901935119437
9,Athletic Club,38,14,9,15,59,54,+5,51,2004,2.9810132714078277
10,Málaga,38,15,6,17,40,48,-8,51,2004,1.9336302301023747
11,Atlético Madrid,38,13,11,14,40,34,+6,50,2004,2.9340153144261727
12,Real Zaragoza,38,14,8,16,52,57,-5,50,2004,2.084695091829123
13,Getafe,38,12,11,15,38,46,-8,47,2004,1.6113585250853124
14,Real Sociedad,38,13,8,17,47,56,-9,47,2004,1.544218586540091
15,Osasuna,38,12,10,16,46,65,-19,46,2004,0.8291782410334837
16,Racing Santander,38,12,8,18,41,58,-17,44,2004,0.8560342164515722
17,Mallorca,38,10,9,19,42,63,-21,39,2004,0.44312359439846083
18,Levante,38,9,10,19,39,58,-19,37,2004,0.43640960054393874
19,Numancia,38,6,11,21,30,61,-31,29,2004,0.006713993854522135
20,Albacete,38,6,10,22,33,56,-23,28,2004,0.030212972345349608
1,Barcelona,38,25,7,6,80,35,+45,82,2005,16.097697636058765
2,Real Madrid,38,20,10,8,70,40,+30,70,2005,10.35751471107562
3,Valencia,38,19,12,7,58,33,+25,69,2005,9.332606973708122
4,Osasuna,38,21,5,12,49,43,+6,68,2005,6.138952488327495
5,Sevilla,38,20,8,10,54,39,+15,68,2005,7.555633831787686
6,Celta Vigo,38,20,4,14,45,33,+12,64,2005,6.453770564651982
7,Villarreal,38,14,15,9,50,39,+11,57,2005,5.232976024238138
8,Deportivo La Coruña,38,15,10,13,47,45,+2,55,2005,3.9177360609269485
9,Getafe,38,15,9,14,54,49,+5,54,2005,4.120618821224951
10,Atlético Madrid,38,13,13,12,45,37,+8,52,2005,4.1590965861090545
11,Real Zaragoza,38,10,16,12,46,51,-5,46,2005,2.2526982350329954
12,Athletic Club,38,11,12,15,40,46,-6,45,2005,2.077799303741614
13,Mallorca,38,10,13,15,37,51,-14,43,2005,1.3292318778145003
14,Real Betis,38,10,12,16,34,51,-17,42,2005,1.0633855022516003
15,Espanyol,38,10,11,17,36,56,-20,41,2005,0.8185269984436658
16,Real Sociedad,38,11,7,20,48,65,-17,40,2005,0.9514501862251159
17,Racing Santander,38,9,13,16,36,49,-13,40,2005,1.1893127327813948
18,Alavés,38,9,12,17,35,54,-19,39,2005,0.7835472121853897
19,Cádiz,38,8,12,18,36,52,-16,36,2005,0.7730532763079068
20,Málaga,38,5,9,24,36,68,-32,24,2005,0.0034979786258276324
1,Real Madrid,38,23,7,8,66,40,+26,76,2006,11.863640245423927
2,Barcelona,38,22,10,6,78,33,+45,76,2006,15.49927193353771
3,Sevilla,38,21,8,9,64,35,+29,71,2006,11.168535583249648
4,Valencia,38,20,6,12,57,42,+15,66,2006,7.7672088374418
5,Villarreal,38,18,8,12,48,44,+4,62,2006,5.467115320471856
6,Real Zaragoza,38,16,12,10,55,43,+12,60,2006,6.185650476876728
7,Atlético Madrid,38,17,9,12,46,39,+7,60,2006,5.541311885535402
8,Recreativo Huelva,38,15,9,14,54,52,+2,54,2006,4.006614513431517
9,Getafe,38,14,10,14,39,33,+6,52,2006,4.100336490353892
10,Racing Santander,38,12,14,12,42,48,-6,50,2006,2.6945068365182716
11,Espanyol,38,12,13,13,46,53,-7,49,2006,2.49144255318646
12,Mallorca,38,14,7,17,41,47,-6,49,2006,2.5773543653653035
13,Deportivo La Coruña,38,12,11,15,32,45,-13,47,2006,1.7963378910121812
14,Osasuna,38,13,7,18,51,49,+2,46,2006,2.819469472414771
15,Levante,38,10,12,16,37,53,-16,42,2006,1.1715247115296834
16,Real Betis,38,8,16,14,36,49,-13,40,2006,1.1676196291579177
17,Athletic Club,38,10,10,18,44,62,-18,40,2006,0.913789274993153
18,Celta Vigo,38,10,9,19,40,59,-19,39,2006,0.7966368038401846
19,Real Sociedad,38,8,11,19,32,47,-15,35,2006,0.6560538384566227
20,Gimnastic de Tarragona,38,7,7,24,34,69,-35,28,2006,0.0039050823717656107
1,Real Madrid,38,27,4,7,84,36,+48,85,2007,17.655772481803503
2,Villarreal,38,24,5,9,63,40,+23,77,2007,11.097914131419342
3,Barcelona,38,19,10,9,76,43,+33,67,2007,10.321836220131278
4,Atlético Madrid,38,19,7,12,66,47,+19,64,2007,7.818984956227265
5,Sevilla,38,20,4,14,75,49,+26,64,2007,8.70177358031744
6,Racing Santander,38,17,9,12,42,41,+1,60,2007,4.979833264098423
7,Mallorca,38,15,14,9,69,54,+15,59,2007,6.376773504416942
8,Almería,38,14,10,14,42,45,-3,52,2007,3.4923506007962968
9,Deportivo La Coruña,38,15,7,16,46,47,-1,52,2007,3.666968130836112
10,Valencia,38,15,6,17,48,62,-14,51,2007,2.438178104630007
11,Athletic Club,38,13,11,14,40,43,-3,50,2007,3.233657963700275
12,Espanyol,38,13,9,16,43,53,-10,48,2007,2.4543463944485087
13,Real Betis,38,12,11,15,45,51,-6,47,2007,2.6321975824520236
14,Getafe,38,12,11,15,44,48,-4,47,2007,2.7744785328548356
15,Real Valladolid,38,11,12,15,42,57,-15,45,2007,1.8108484596721537
16,Recreativo Huelva,38,11,11,16,40,60,-20,44,2007,1.41310853013702
17,Osasuna,38,12,7,19,37,44,-7,43,2007,2.095410360477778
18,Real Zaragoza,38,10,12,16,50,61,-11,42,2007,1.7591099322529495
19,Murcia,38,7,9,22,36,65,-29,30,2007,0.2263560574590192
20,Levante,38,7,5,26,33,75,-42,26,2007,0.003233657963700275
1,Barcelona,38,27,6,5,105,35,+70,87,2008,16.844640299121323
2,Real Madrid,38,25,3,10,83,52,+31,78,2008,8.753860730911416
3,Sevilla,38,21,7,10,54,39,+15,70,2008,5.423587626760333
4,Atlético Madrid,38,20,7,11,80,57,+23,67,2008,5.827977932264394
5,Villarreal,38,18,11,9,61,54,+7,65,2008,3.924964729892347
6,Valencia,38,18,8,12,68,54,+14,62,2008,4.1925759614759155
7,Deportivo La Coruña,38,16,10,12,48,47,+1,58,2008,2.6285369857763903
8,Málaga,38,15,10,13,55,59,-4,55,2008,1.983296571847118
9,Mallorca,38,14,9,15,53,60,-7,51,2008,1.4688883155809238
10,Espanyol,38,12,11,15,46,49,-3,47,2008,1.3380561579178456
11,Almería,38,13,7,18,45,61,-16,46,2008,0.707683034632105
12,Racing Santander,38,12,10,16,49,48,+1,46,2008,1.41536606926421
13,Athletic Club,38,12,8,18,47,62,-15,44,2008,0.6422669558005659
14,Sporting Gijón,38,14,1,23,47,79,-32,43,2008,0.03270803941576956
15,Osasuna,38,10,13,15,41,47,-6,43,2008,0.8831170642257781
16,Real Valladolid,38,12,7,19,46,58,-12,43,2008,0.6868688277311608
17,Getafe,38,10,12,16,50,56,-6,42,2008,0.8028336947507074
18,Real Betis,38,10,12,16,51,58,-7,42,2008,0.7730991134636442
19,Numancia,38,10,5,23,38,69,-31,35,2008,0.01784074877223794
20,Recreativo Huelva,38,8,9,21,34,57,-23,33,2008,0.02973458128706323
1,Barcelona,38,31,6,1,98,24,+74,99,2009,13.729478752219043
2,Real Madrid,38,31,3,4,102,35,+67,96,2009,12.263779602691072
3,Valencia,38,21,8,9,59,40,+19,71,2009,3.916164915145048
4,Sevilla,38,19,6,13,65,49,+16,63,2009,2.9199475244502553
5,Mallorca,38,18,8,12,59,44,+15,62,2009,2.767270529707758
6,Getafe,38,17,7,14,58,48,+10,58,2009,2.147020238566364
7,Villarreal,38,16,8,14,58,57,+1,56,2009,1.5802068955848438
8,Athletic Club,38,15,9,14,50,53,-3,54,2009,1.2824867558369748
9,Atlético Madrid,38,13,8,17,57,61,-4,47,2009,0.8282726964780462
10,Deportivo La Coruña,38,13,8,17,35,49,-14,47,2009,0.5610879556786765
11,Espanyol,38,11,11,16,29,46,-17,44,2009,0.3778755619876801
12,Osasuna,38,11,10,17,37,46,-9,43,2009,0.4962002329131152
13,Almería,38,10,12,16,43,55,-12,42,2009,0.39505172389621096
14,Real Zaragoza,38,10,11,17,46,64,-18,41,2009,0.2595508910622449
15,Sporting Gijón,38,9,13,16,36,51,-15,40,2009,0.26718474079936977
16,Racing Santander,38,9,12,17,42,59,-17,39,2009,0.20611394290237095
17,Málaga,38,7,16,15,42,48,-6,37,2009,0.22138164237662067
18,Real Valladolid,38,7,15,16,37,62,-25,36,2009,0.05725387302843637
19,Tenerife,38,9,9,20,40,74,-34,36,2009,0.0057253873028436375
20,Xerez,38,8,10,20,38,66,-28,34,2009,0.013359237039968488
1,Barcelona,38,30,6,2,95,21,+74,96,2010,15.874363757769112
2,Real Madrid,38,29,5,4,102,33,+69,92,2010,14.241932266315654
3,Valencia,38,21,8,9,64,44,+20,71,2010,5.0211940682523135
4,Villarreal,38,18,8,12,54,44,+10,62,2010,3.2279104724479164
5,Sevilla,38,17,7,14,62,61,+1,58,2010,2.269318877599747
6,Athletic Club,38,18,4,16,59,55,+4,58,2010,2.4584287840663928
7,Atlético Madrid,38,17,7,14,62,53,+9,58,2010,2.7736119615108024
8,Espanyol,38,15,4,19,46,55,-9,49,2010,1.1303120846282264
9,Osasuna,38,13,8,17,45,46,-1,47,2010,1.3302903765239895
10,Sporting Gijón,38,11,14,13,35,42,-7,47,2010,1.0955332512550502
11,Málaga,38,13,7,18,54,68,-14,46,2010,0.7760027196389939
12,Racing Santander,38,12,10,16,41,56,-15,46,2010,0.7390502091799943
13,Real Zaragoza,38,12,9,17,40,53,-13,45,2010,0.7651343342098764
14,Levante,38,12,9,17,41,52,-11,45,2010,0.8346920009562288
15,Real Sociedad,38,14,3,21,49,66,-17,45,2010,0.6260190007171715
16,Getafe,38,12,8,18,49,60,-11,44,2010,0.7825237508964645
17,Mallorca,38,12,8,18,41,56,-15,44,2010,0.6521031257470538
18,Deportivo La Coruña,38,10,13,15,31,47,-16,43,2010,0.5781981048290543
