Standing,Team Name,Games Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Year,Relative Team Strength
1,AC Milan,34,25,7,2,65,24,+41,82,2003,15.27
2,AS Roma,34,21,8,5,68,19,+49,71,2003,14.0
3,Juventus,34,21,6,7,67,42,+25,69,2003,10.25
4,Internazionale,34,17,8,9,59,37,+22,59,2003,8.11
5,Parma,34,16,10,8,57,46,+11,58,2003,6.73
6,Lazio,34,16,8,10,52,38,+14,56,2003,6.75
7,Udinese,34,13,11,10,44,40,+4,50,2003,4.92
8,Sampdoria,34,11,13,10,40,42,-2,46,2003,3.91
9,Chievo Verona,34,11,11,12,36,37,-1,44,2003,3.76
10,Lecce,34,11,8,15,43,56,-13,41,2003,2.57
11,Brescia,34,9,13,12,52,57,-5,40,2003,3.02
12,Bologna,34,10,9,15,45,53,-8,39,2003,2.72
13,Reggina,34,6,16,12,29,45,-16,34,2003,1.79
14,Siena,34,8,10,16,41,54,-13,34,2003,1.95
15,Perugia,34,6,14,14,44,56,-12,32,2003,1.82
16,Modena,34,6,12,16,27,46,-19,30,2003,1.34
17,Empoli,34,7,9,18,26,54,-28,30,2003,0.95
18,Ancona,34,2,7,25,21,70,-49,13,2003,0.0
1,Juventus,38,26,8,4,67,27,+40,86,2004,12.56
2,AC Milan,38,23,10,5,63,28,+35,79,2004,9.93
3,Internazionale,38,18,18,2,65,37,+28,72,2004,7.28
4,Udinese,38,17,11,10,56,40,+16,62,2004,3.96
5,Sampdoria,38,17,10,11,42,29,+13,61,2004,3.49
6,Palermo,38,12,17,9,48,44,+4,53,2004,1.74
7,Messina,38,12,12,14,44,52,-8,48,2004,0.58
8,AS Roma,38,11,12,15,55,58,-3,45,2004,0.69
9,Livorno,38,11,12,15,49,60,-11,45,2004,0.32
10,Lecce,38,10,14,14,66,73,-7,44,2004,0.46
11,Reggina,38,10,14,14,36,45,-9,44,2004,0.37
12,Cagliari,38,10,14,14,51,60,-9,44,2004,0.37
13,Lazio,38,11,11,16,48,53,-5,44,2004,0.54
14,Siena,38,9,16,13,44,55,-11,43,2004,0.26
15,Chievo Verona,38,11,10,17,32,49,-17,43,2004,0.04
16,Fiorentina,38,9,15,14,42,50,-8,42,2004,0.33
17,Bologna,38,9,15,14,33,36,-3,42,2004,0.5
18,Parma,38,10,12,16,48,65,-17,42,2004,0.03
19,Brescia,38,11,8,19,37,54,-17,41,2004,0.03
20,Atalanta,38,8,11,19,34,45,-11,35,2004,0.03
1,Internazionale,38,23,7,8,68,30,+38,76,2005,9.4
2,AS Roma,38,19,12,7,70,42,+28,69,2005,7.06
3,AC Milan,38,28,4,6,85,31,+54,58,2005,7.81
4,Chievo Verona,38,13,15,10,54,49,+5,54,2005,3.05
5,Palermo,38,13,13,12,50,52,-2,52,2005,2.34
6,Livorno,38,12,13,13,37,44,-7,49,2005,1.78
